code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-16 10:25:00,11.38,11.38,11.38,11.34,0.0,0.0,33600,381716.0,0.1760563380281809,11.36
HK.01157,2021-03-16 10:26:00,11.36,11.38,11.38,11.34,0.0,0.0,7800,88620.0,0.0,11.38
HK.01157,2021-03-16 10:27:00,11.36,11.34,11.36,11.34,0.0,0.0,15800,179436.0,-0.35149384885765306,11.38
HK.01157,2021-03-16 10:28:00,11.36,11.38,11.4,11.36,0.0,0.0,70000,795568.0,0.35273368606702754,11.34
HK.01157,2021-03-16 10:29:00,11.38,11.38,11.38,11.38,0.0,0.0,1800,20484.0,0.0,11.38
HK.01157,2021-03-16 10:30:00,11.38,11.4,11.4,11.38,0.0,0.0,19400,220896.0,0.17574692442881873,11.38
HK.01157,2021-03-16 10:31:00,11.4,11.34,11.42,11.34,0.0,0.0,96400,1095652.0,-0.5263157894736885,11.4
HK.01157,2021-03-16 10:32:00,11.38,11.34,11.38,11.34,0.0,0.0,16400,186168.0,0.0,11.34
HK.01157,2021-03-16 10:33:00,11.34,11.36,11.36,11.32,0.0,0.0,31400,355672.0,0.17636684303350594,11.34
HK.01157,2021-03-16 10:34:00,11.3,11.32,11.36,11.3,0.0,0.0,50000,565268.0,-0.3521126760563305,11.36
HK.01157,2021-03-16 10:35:00,11.32,11.32,11.32,11.32,0.0,0.0,0,0.0,0.0,11.32
HK.01157,2021-03-16 10:36:00,11.32,11.3,11.32,11.28,0.0,0.0,26200,295976.0,-0.1766784452296782,11.32
HK.01157,2021-03-16 10:37:00,11.28,11.32,11.32,11.28,0.0,0.0,15000,169508.0,0.1769911504424741,11.3
HK.01157,2021-03-16 10:38:00,11.3,11.32,11.32,11.3,0.0,0.0,600,6784.0,0.0,11.32
HK.01157,2021-03-16 10:39:00,11.3,11.32,11.32,11.3,0.0,0.0,1400,15828.0,0.0,11.32
HK.01157,2021-03-16 10:40:00,11.32,11.3,11.32,11.26,0.0,0.0,38600,436176.0,-0.1766784452296782,11.32
HK.01157,2021-03-16 10:41:00,11.28,11.28,11.3,11.26,0.0,0.0,12000,135376.0,-0.1769911504424898,11.3
